,sample_id,m1,m2,u1,u2,log10unique
015V13001607_CFAR,015V13001607_CFAR,1.053974009000938e-05,1.053974009000938e-05,30444,30444,4.483501713269356
015V11000409_CFAR,015V11000409_CFAR,1.32469631337016e-05,1.32469631337016e-05,38740,38740,4.588159616383092
015V06012050_CFAR_R,015V06012050_CFAR_R,1.4438973677750985e-05,1.4438973677750985e-05,37545,37545,4.574552108663904
015V09000483_CFAR,015V09000483_CFAR,1.6405814220559766e-05,1.6405814220559766e-05,34010,34010,4.531606631932722
015V07006839_CFAR,015V07006839_CFAR,1.2588116817724068e-05,1.2588116817724068e-05,44135,44135,4.644783130923357
015V11003600_CFAR,015V11003600_CFAR,1.5151515151515151e-05,1.5151515151515151e-05,26714,26714,4.426738921636634
015V14001394_CFAR,015V14001394_CFAR,1.1533892342648874e-05,1.1533892342648874e-05,50082,50082,4.699681663884886
015V09002064_CFAR,015V09002064_CFAR,1.710600591867805e-05,1.710600591867805e-05,16729,16729,4.22346998116192
015V10004204_CFAR,015V10004204_CFAR,0.0001032737787875,0.0001032737787875,5995,5995,3.7777891874348675
015V15000746_CFAR,015V15000746_CFAR,1.841891991453621e-05,1.841891991453621e-05,35925,35925,4.555396776806263
015V06011673_CFAR,015V06011673_CFAR,1.3460037149702532e-05,1.3460037149702532e-05,12566,12566,4.09919705537992
015V09001936_CFAR,015V09001936_CFAR,1.233912861073751e-05,1.233912861073751e-05,23512,23512,4.371289573064556
015V11000733_CFAR,015V11000733_CFAR,1.148963060837594e-05,1.148963060837594e-05,44712,44712,4.650424096607849
015V10001929_CFAR,015V10001929_CFAR,1.5708451146716935e-05,1.5708451146716935e-05,36025,36025,4.556603989486027
015V08000171_CFAR,015V08000171_CFAR,1.565729316715726e-05,1.565729316715726e-05,27315,27315,4.436401204850601
015V06005802_CFAR,015V06005802_CFAR,1.4138472196694424e-05,1.4138472196694424e-05,22077,22077,4.34394005764571
015V14002075_CFAR,015V14002075_CFAR,1.8648018648018647e-05,1.8648018648018647e-05,28753,28753,4.458683164346481
015V11001992_CFAR,015V11001992_CFAR,1.959094114881279e-05,1.959094114881279e-05,17511,17511,4.243310948029823
015V08002795_CFAR,015V08002795_CFAR,1.32761573490169e-05,1.32761573490169e-05,46355,46355,4.666096585412432
015V12002385_CFAR,015V12002385_CFAR,1.3166730305863146e-05,1.3166730305863146e-05,34818,34818,4.541803820948174
015V09003372_CFAR,015V09003372_CFAR,2.0087178354056607e-05,2.0087178354056607e-05,36206,36206,4.558780547079236
015V10004723_CFAR,015V10004723_CFAR,1.5757461157858247e-05,1.5757461157858247e-05,19902,19902,4.298896721903126
015V05003835_CFAR,015V05003835_CFAR,1.383566003016174e-05,1.383566003016174e-05,17430,17430,4.241297387109993
015V10001333_CFAR,015V10001333_CFAR,0.0001457938474996,0.0001457938474996,3234,3234,3.509740015570382
015V11001386_CFAR,015V11001386_CFAR,0.0007283321194464,0.0007283321194464,918,918,2.9628426812012423
015V16001575_CFAR,015V16001575_CFAR,3.526963637004903e-05,3.526963637004903e-05,21771,21771,4.337878377801204
015V09001427_CFAR,015V09001427_CFAR,1.9082148649937985e-05,1.9082148649937985e-05,12712,12712,4.104213884199323
015V09002862_CFAR,015V09002862_CFAR,1.0689470871191876e-05,1.0689470871191876e-05,51014,51014,4.707689377830734
015V09001976_CFAR,015V09001976_CFAR,1.58654608916389e-05,1.58654608916389e-05,36772,36772,4.56551725144467
015V10004394_CFAR_R,015V10004394_CFAR_R,1.252238376097274e-05,1.252238376097274e-05,32323,32323,4.509511662219549
015V05005613_CFAR,015V05005613_CFAR,1.615508885298869e-05,1.615508885298869e-05,19249,19249,4.284408172506199
015V14000444_CFAR_R,015V14000444_CFAR_R,2.304784733105928e-05,2.304784733105928e-05,27052,27052,4.432199378753305
015V05006625_CFAR,015V05006625_CFAR,1.5615484314246007e-05,1.5615484314246007e-05,22311,22311,4.348519036207146
015V11002798_CFAR,015V11002798_CFAR,1.67313612635524e-05,1.67313612635524e-05,35814,35814,4.554052829275318
015V07011363_CFAR,015V07011363_CFAR,1.4874090821198554e-05,1.4874090821198554e-05,29159,29159,4.464772625889805
015V06005054_CFAR,015V06005054_CFAR,1.7541705404599435e-05,1.7541705404599435e-05,25193,25193,4.401279886667168
